temperature,mixing_ratio,refresh_count,elapsed_time,growth_percentage,remaining_time
28.0,1:5:5,5,254,104,-10
25.0,1:1:1,7,126,51,61
26.0,1:1:1,6,171,38,106
24.0,1:1:1,6,246,53,115
28.0,1:1:1,6,133,71,38
25.0,1:1:1,7,126,43,71
25.0,1:2:2,3,791,60,316
25.0,1:10:10,1,2200,88,264
28.0,1:10:10,8,114,68,36
26.0,1:2:2,1,1440,56,633
28.0,1:10:10,4,422,78,92
25.0,1:5:5,4,596,54,274
26.0,1:1:1,4,380,44,212
26.0,1:1:1,1,1260,27,919
24.0,1:1:1,4,548,51,268
26.0,1:2:2,2,965,52,463
26.0,1:1:1,2,845,41,498
28.0,1:1:1,2,657,37,413
26.0,1:1:1,7,103,75,25
28.0,1:2:2,5,226,70,67
28.0,1:10:10,1,1400,56,615
24.0,1:1:1,1,1820,-5,1911
28.0,1:10:10,3,629,87,81
24.0,1:5:5,8,191,32,129
28.0,1:10:10,7,114,49,58
25.0,1:10:10,5,444,65,155
26.0,1:1:1,3,566,27,413
24.0,1:2:2,1,2080,33,1393
24.0,1:2:2,5,420,90,41
26.0,1:5:5,1,1620,41,955
28.0,1:2:2,7,91,79,19
28.0,1:10:10,3,629,42,364
24.0,1:5:5,4,705,39,430
24.0,1:10:10,3,1168,33,782
24.0,1:2:2,2,1394,44,780
26.0,1:2:2,7,118,86,16
26.0,1:10:10,1,1800,58,756
25.0,1:2:2,4,530,51,259
25.0,1:1:1,8,126,51,61
25.0,1:1:1,2,1032,18,846
28.0,1:10:10,5,283,61,110
24.0,1:2:2,4,626,45,344
24.0,1:10:10,4,783,36,501
25.0,1:10:10,7,180,3,174
26.0,1:5:5,2,1086,42,629
25.0,1:5:5,7,162,18,132
25.0,1:10:10,6,298,41,175
25.0,1:10:10,4,663,62,251
26.0,1:1:1,3,566,60,226
24.0,1:10:10,6,352,29,249
24.0,1:10:10,1,2600,-10,2860
25.0,1:1:1,6,208,12,183
28.0,1:2:2,5,226,71,65
26.0,1:10:10,5,363,66,123
24.0,1:2:2,7,170,18,139
24.0,1:1:1,6,246,22,191
26.0,1:1:1,3,566,80,113
28.0,1:2:2,8,91,57,39
28.0,1:10:10,5,283,47,149
28.0,1:2:2,4,337,35,219
28.0,1:2:2,4,337,91,30
28.0,1:1:1,1,980,53,460
26.0,1:1:1,1,1260,16,1058
24.0,1:1:1,4,548,9,498
24.0,1:2:2,3,935,53,439
24.0,1:2:2,2,1394,73,376
24.0,1:2:2,2,1394,5,1324
28.0,1:2:2,2,751,35,488
28.0,1:1:1,6,133,63,49
24.0,1:2:2,8,170,27,124
26.0,1:5:5,1,1620,78,356
24.0,1:1:1,2,1220,46,658
24.0,1:2:2,3,935,78,205
24.0,1:5:5,5,472,58,198
26.0,1:1:1,5,254,66,86
25.0,1:1:1,6,208,33,139
28.0,1:2:2,1,1120,41,660
24.0,1:10:10,8,212,39,129
25.0,1:2:2,3,791,41,466
26.0,1:2:2,4,434,38,269
26.0,1:5:5,5,327,100,0
24.0,1:2:2,2,1394,44,780
25.0,1:2:2,2,1180,50,590
25.0,1:5:5,3,890,55,400
24.0,1:2:2,1,2080,30,1456
28.0,1:5:5,4,380,64,136
24.0,1:1:1,5,367,2,359
28.0,1:2:2,8,91,69,28
28.0,1:10:10,5,283,71,82
25.0,1:2:2,5,355,27,259
26.0,1:10:10,3,809,37,509
26.0,1:5:5,1,1620,96,64
26.0,1:2:2,8,118,27,86
28.0,1:10:10,8,114,44,63
28.0,1:5:5,3,566,93,39
24.0,1:10:10,2,1743,12,1533
24.0,1:1:1,2,1220,50,610
28.0,1:2:2,5,226,61,88
24.0,1:1:1,4,548,30,383
25.0,1:2:2,2,1180,42,684
26.0,1:1:1,2,845,33,566
24.0,1:5:5,1,2340,42,1357
26.0,1:5:5,8,132,89,14
24.0,1:1:1,2,1220,43,695
26.0,1:5:5,8,132,50,66
25.0,1:2:2,2,1180,53,554
25.0,1:1:1,2,1032,81,196
25.0,1:5:5,8,162,58,68
26.0,1:2:2,3,647,34,427
26.0,1:10:10,5,363,42,210
26.0,1:5:5,8,132,68,42
24.0,1:5:5,5,472,45,259
24.0,1:5:5,6,317,14,272
25.0,1:2:2,4,530,35,344
24.0,1:10:10,2,1743,16,1464
26.0,1:1:1,5,254,100,0
25.0,1:2:2,7,144,37,90
28.0,1:10:10,1,1400,19,1134
24.0,1:2:2,4,626,61,244
25.0,1:10:10,2,1475,49,752
25.0,1:1:1,1,1540,17,1278
24.0,1:1:1,6,246,27,179
28.0,1:10:10,6,189,34,124
26.0,1:2:2,6,195,65,68
26.0,1:2:2,6,195,52,93
24.0,1:2:2,8,170,56,74
25.0,1:5:5,3,890,61,347
28.0,1:2:2,3,503,51,246
25.0,1:2:2,4,530,59,217
26.0,1:10:10,1,1800,54,827
24.0,1:2:2,6,281,74,73
28.0,1:2:2,5,226,75,56
24.0,1:5:5,3,1051,40,630
24.0,1:2:2,2,1394,81,264
25.0,1:10:10,2,1475,11,1312
24.0,1:10:10,2,1743,87,226
26.0,1:2:2,7,118,37,74
24.0,1:1:1,6,246,28,177
24.0,1:10:10,3,1168,70,350
24.0,1:2:2,4,626,53,294
28.0,1:2:2,4,337,56,148
28.0,1:1:1,8,80,70,24
28.0,1:2:2,3,503,73,135
24.0,1:1:1,5,367,53,172
25.0,1:10:10,1,2200,24,1672
24.0,1:2:2,1,2080,29,1476
28.0,1:2:2,8,91,98,1
26.0,1:1:1,6,171,3,165
24.0,1:1:1,1,1820,70,546
24.0,1:5:5,7,191,25,143
28.0,1:5:5,7,103,61,40
26.0,1:2:2,6,195,74,50
25.0,1:10:10,4,663,32,450
26.0,1:5:5,5,327,84,52
26.0,1:10:10,5,363,49,185
25.0,1:1:1,1,1540,69,477
24.0,1:2:2,4,626,54,287
25.0,1:2:2,2,1180,82,212
25.0,1:2:2,5,355,49,181
26.0,1:5:5,4,488,95,24
26.0,1:1:1,8,103,31,71
24.0,1:1:1,7,149,68,47
26.0,1:5:5,3,728,40,436
26.0,1:10:10,4,542,64,195
28.0,1:5:5,6,171,91,15
25.0,1:10:10,6,298,41,175
25.0,1:2:2,3,791,20,632
28.0,1:2:2,5,226,77,51
26.0,1:10:10,4,542,31,373
28.0,1:10:10,4,422,84,67
26.0,1:2:2,1,1440,63,532
25.0,1:5:5,5,400,37,252
28.0,1:2:2,7,91,50,45
24.0,1:1:1,7,149,18,122
26.0,1:1:1,7,103,35,66
24.0,1:1:1,1,1820,52,873
25.0,1:1:1,3,692,37,435
26.0,1:10:10,1,1800,18,1476
26.0,1:1:1,8,103,0,103
26.0,1:5:5,4,488,46,263
24.0,1:5:5,4,705,46,380
25.0,1:1:1,8,126,70,37
26.0,1:2:2,2,965,36,617
28.0,1:2:2,5,226,68,72
24.0,1:1:1,4,548,40,328
25.0,1:2:2,4,530,23,408
26.0,1:1:1,8,103,52,49
24.0,1:2:2,7,170,66,57
25.0,1:10:10,6,298,43,169
24.0,1:1:1,5,367,61,143
26.0,1:2:2,1,1440,42,835
25.0,1:5:5,7,162,98,3
24.0,1:2:2,6,281,78,61
25.0,1:5:5,7,162,44,90
26.0,1:5:5,3,728,35,473
28.0,1:2:2,2,751,61,292
24.0,1:5:5,7,191,59,78
28.0,1:10:10,2,938,54,431
24.0,1:5:5,3,1051,60,420
28.0,1:5:5,3,566,110,-56
24.0,1:5:5,5,472,42,273
26.0,1:5:5,1,1620,84,259
26.0,1:10:10,8,147,58,61
25.0,1:10:10,8,180,16,151
25.0,1:5:5,2,1327,31,915
26.0,1:1:1,7,103,56,45
25.0,1:2:2,1,1760,67,580
26.0,1:1:1,4,380,70,114
26.0,1:5:5,7,132,39,80
28.0,1:10:10,5,283,83,48
24.0,1:2:2,5,420,26,310
28.0,1:5:5,4,380,63,140
26.0,1:2:2,7,118,30,82
28.0,1:10:10,1,1400,105,-70
24.0,1:10:10,2,1743,-10,1917
24.0,1:1:1,7,149,52,71
25.0,1:10:10,2,1475,25,1106
25.0,1:1:1,5,311,72,87
25.0,1:2:2,8,144,73,38
24.0,1:2:2,4,626,24,475
24.0,1:1:1,6,246,39,150
25.0,1:10:10,7,180,32,122
26.0,1:10:10,2,1207,31,832
28.0,1:1:1,1,980,110,-98
24.0,1:2:2,5,420,35,273
28.0,1:2:2,2,751,22,585
25.0,1:5:5,1,1980,30,1386
26.0,1:1:1,4,380,45,209
28.0,1:1:1,3,440,84,70
26.0,1:10:10,3,809,47,428
28.0,1:2:2,6,152,71,44
24.0,1:10:10,1,2600,45,1430
26.0,1:5:5,4,488,15,414
26.0,1:1:1,6,171,40,102
24.0,1:1:1,8,149,85,22
24.0,1:1:1,1,1820,55,818
24.0,1:5:5,3,1051,72,294
26.0,1:2:2,5,291,69,90
24.0,1:1:1,1,1820,28,1310
25.0,1:1:1,7,126,32,85
28.0,1:10:10,3,629,60,251
28.0,1:5:5,5,254,76,60
28.0,1:2:2,8,91,78,20
24.0,1:2:2,1,2080,67,686
24.0,1:1:1,2,1220,60,488
26.0,1:10:10,2,1207,24,917
26.0,1:2:2,7,118,100,0
24.0,1:5:5,1,2340,36,1497
26.0,1:5:5,5,327,46,176
25.0,1:5:5,6,268,48,139
26.0,1:2:2,7,118,36,75
24.0,1:2:2,7,170,58,71
24.0,1:2:2,3,935,-1,944
24.0,1:5:5,8,191,-2,194
26.0,1:5:5,8,132,24,100
24.0,1:10:10,5,525,64,189
24.0,1:10:10,5,525,56,230
25.0,1:10:10,6,298,28,214
25.0,1:2:2,3,791,2,775
26.0,1:1:1,5,254,62,96
26.0,1:5:5,6,219,46,118
28.0,1:1:1,6,133,110,-13
28.0,1:5:5,1,1260,46,680
25.0,1:2:2,1,1760,55,791
24.0,1:2:2,1,2080,-2,2121
26.0,1:1:1,6,171,65,59
25.0,1:2:2,5,355,40,213
24.0,1:10:10,1,2600,35,1690
28.0,1:10:10,3,629,42,364
25.0,1:1:1,5,311,61,121
26.0,1:10:10,7,147,19,119
25.0,1:10:10,3,989,48,514
28.0,1:10:10,5,283,61,110
26.0,1:2:2,5,291,47,154
24.0,1:1:1,2,1220,29,866
26.0,1:10:10,6,244,60,97
26.0,1:1:1,1,1260,73,340
26.0,1:10:10,2,1207,16,1013
26.0,1:2:2,2,965,53,453
25.0,1:1:1,8,126,48,65
24.0,1:10:10,5,525,58,220
26.0,1:1:1,1,1260,5,1197
26.0,1:10:10,5,363,32,246
24.0,1:5:5,1,2340,50,1170
26.0,1:5:5,2,1086,45,597
28.0,1:10:10,7,114,60,45
24.0,1:10:10,8,212,27,154
24.0,1:10:10,5,525,40,315
26.0,1:2:2,3,647,70,194
28.0,1:10:10,2,938,82,168
24.0,1:2:2,8,170,42,98
26.0,1:10:10,8,147,37,92
28.0,1:1:1,5,198,50,99
26.0,1:1:1,1,1260,31,869
24.0,1:5:5,5,472,51,231
25.0,1:1:1,3,692,39,422
26.0,1:5:5,2,1086,62,412
28.0,1:2:2,6,152,43,86
25.0,1:10:10,5,444,67,146
25.0,1:5:5,1,1980,30,1386
25.0,1:10:10,8,180,53,84
28.0,1:1:1,3,440,52,211
26.0,1:2:2,1,1440,36,921
28.0,1:2:2,7,91,36,58
24.0,1:1:1,6,246,32,167
28.0,1:10:10,8,114,69,35
24.0,1:2:2,6,281,27,205
24.0,1:2:2,2,1394,80,278
28.0,1:1:1,4,295,45,162
26.0,1:1:1,3,566,41,333
28.0,1:5:5,3,566,82,101
25.0,1:5:5,2,1327,47,703
28.0,1:1:1,3,440,35,286
24.0,1:1:1,7,149,65,52
26.0,1:10:10,8,147,52,70
25.0,1:5:5,6,268,40,160
26.0,1:1:1,6,171,42,99
28.0,1:10:10,4,422,68,135
24.0,1:5:5,4,705,44,394
25.0,1:5:5,1,1980,13,1722
25.0,1:10:10,6,298,38,184
26.0,1:2:2,5,291,57,125
28.0,1:10:10,2,938,54,431
26.0,1:10:10,8,147,25,110
24.0,1:1:1,5,367,43,209
24.0,1:10:10,7,212,72,59
26.0,1:5:5,5,327,0,327
28.0,1:10:10,5,283,56,124
25.0,1:2:2,7,144,23,110
24.0,1:2:2,4,626,47,331
28.0,1:1:1,4,295,28,212
26.0,1:2:2,6,195,67,64
28.0,1:5:5,8,103,25,77
24.0,1:1:1,8,149,79,31
25.0,1:2:2,7,144,42,83
26.0,1:2:2,8,118,74,30
28.0,1:2:2,1,1120,74,291
28.0,1:5:5,6,171,47,90
28.0,1:1:1,6,133,68,42
28.0,1:5:5,8,103,30,72
24.0,1:2:2,8,170,38,105
28.0,1:2:2,4,337,61,131
24.0,1:1:1,6,246,24,186
24.0,1:1:1,4,548,12,482
25.0,1:5:5,2,1327,27,968
25.0,1:2:2,2,1180,57,507
24.0,1:5:5,3,1051,42,609
25.0,1:1:1,6,208,79,43
24.0,1:2:2,4,626,70,187
28.0,1:10:10,2,938,85,140
26.0,1:5:5,7,132,61,51
26.0,1:5:5,4,488,93,34
25.0,1:2:2,7,144,73,38
26.0,1:5:5,1,1620,45,891
25.0,1:2:2,4,530,25,397
26.0,1:10:10,5,363,97,10
26.0,1:5:5,6,219,41,129
28.0,1:1:1,8,80,56,35
28.0,1:5:5,4,380,80,75
25.0,1:2:2,2,1180,23,908
28.0,1:1:1,3,440,83,74
26.0,1:10:10,2,1207,22,941
25.0,1:5:5,7,162,40,97
24.0,1:5:5,4,705,62,267
24.0,1:10:10,4,783,34,516
28.0,1:2:2,4,337,110,-33
26.0,1:10:10,1,1800,56,791
28.0,1:2:2,5,226,91,20
26.0,1:2:2,4,434,19,351
25.0,1:5:5,2,1327,24,1008
25.0,1:10:10,5,444,19,359
26.0,1:1:1,3,566,40,339
25.0,1:5:5,2,1327,77,305
28.0,1:2:2,6,152,10,136
25.0,1:1:1,1,1540,57,662
25.0,1:2:2,4,530,82,95
26.0,1:1:1,4,380,17,315
25.0,1:5:5,6,268,23,206
28.0,1:2:2,3,503,81,95
24.0,1:1:1,7,149,74,38
28.0,1:1:1,7,80,90,7
26.0,1:5:5,3,728,46,393
28.0,1:2:2,5,226,79,47
25.0,1:10:10,6,298,46,160
28.0,1:5:5,4,380,37,239
24.0,1:1:1,8,149,14,128
26.0,1:1:1,7,103,19,83
24.0,1:10:10,5,525,54,241
28.0,1:10:10,7,114,79,23
26.0,1:2:2,4,434,39,264
25.0,1:2:2,1,1760,50,880
26.0,1:1:1,4,380,52,182
26.0,1:2:2,5,291,40,174
24.0,1:5:5,5,472,43,269
28.0,1:2:2,4,337,42,195
24.0,1:2:2,8,170,9,154
26.0,1:2:2,7,118,60,47
28.0,1:2:2,4,337,45,185
24.0,1:1:1,7,149,50,74
28.0,1:1:1,8,80,76,19
26.0,1:2:2,3,647,25,485
25.0,1:2:2,2,1180,63,436
26.0,1:10:10,1,1800,39,1098
28.0,1:5:5,8,103,72,28
25.0,1:1:1,8,126,52,60
24.0,1:1:1,2,1220,20,976
28.0,1:2:2,7,91,51,44
24.0,1:1:1,1,1820,34,1201
26.0,1:10:10,2,1207,39,736
24.0,1:2:2,6,281,37,177
25.0,1:2:2,5,355,65,124
24.0,1:5:5,3,1051,33,704
25.0,1:2:2,7,144,68,46
24.0,1:1:1,7,149,66,50
26.0,1:1:1,3,566,81,107
28.0,1:1:1,1,980,81,186
26.0,1:10:10,6,244,94,14
25.0,1:5:5,3,890,59,364
25.0,1:2:2,1,1760,29,1249
26.0,1:1:1,2,845,17,701
28.0,1:5:5,3,566,63,209
28.0,1:5:5,6,171,77,39
26.0,1:1:1,5,254,69,78
26.0,1:5:5,7,132,52,63
26.0,1:5:5,4,488,57,209
24.0,1:1:1,6,246,30,172
28.0,1:10:10,5,283,51,138
28.0,1:2:2,3,503,61,196
28.0,1:10:10,2,938,75,234
28.0,1:2:2,2,751,66,255
25.0,1:1:1,6,208,48,108
26.0,1:5:5,7,132,56,58
26.0,1:5:5,7,132,57,56
28.0,1:1:1,2,657,43,374
25.0,1:1:1,4,464,46,250
28.0,1:1:1,2,657,64,236
28.0,1:1:1,2,657,105,-32
24.0,1:5:5,2,1569,30,1098
25.0,1:10:10,8,180,28,129
28.0,1:1:1,2,657,42,381
28.0,1:5:5,4,380,38,235
28.0,1:5:5,2,845,71,245
25.0,1:1:1,7,126,63,46
25.0,1:1:1,7,126,60,50
24.0,1:5:5,5,472,32,320
24.0,1:2:2,8,170,18,139
26.0,1:10:10,3,809,35,525
25.0,1:1:1,6,208,39,126
24.0,1:2:2,8,170,43,96
26.0,1:5:5,5,327,37,206
24.0,1:5:5,1,2340,77,538
24.0,1:5:5,7,191,60,76
28.0,1:2:2,6,152,49,77
25.0,1:10:10,7,180,35,117
24.0,1:1:1,4,548,57,235
26.0,1:1:1,8,103,21,81
26.0,1:10:10,5,363,25,272
24.0,1:10:10,2,1743,29,1237
28.0,1:1:1,8,80,64,28
25.0,1:10:10,2,1475,28,1062
25.0,1:5:5,6,268,64,96
25.0,1:2:2,7,144,20,115
26.0,1:2:2,7,118,23,90
25.0,1:10:10,8,180,33,120
24.0,1:1:1,5,367,43,209
26.0,1:5:5,1,1620,43,923
25.0,1:1:1,7,126,26,93
28.0,1:10:10,1,1400,13,1218
26.0,1:10:10,3,809,40,485
28.0,1:2:2,5,226,77,51
24.0,1:1:1,6,246,55,110
24.0,1:10:10,6,352,56,154
28.0,1:1:1,5,198,46,106
28.0,1:10:10,6,189,54,86
24.0,1:2:2,1,2080,31,1435
24.0,1:2:2,3,935,41,551
26.0,1:10:10,6,244,17,202
26.0,1:2:2,4,434,57,186
28.0,1:1:1,4,295,88,35
25.0,1:10:10,7,180,67,59
24.0,1:5:5,6,317,-6,336
28.0,1:2:2,6,152,45,83
26.0,1:10:10,6,244,58,102
24.0,1:5:5,5,472,54,217
25.0,1:1:1,5,311,52,149
25.0,1:1:1,4,464,29,329
28.0,1:2:2,6,152,66,51
24.0,1:10:10,3,1168,24,887
24.0,1:2:2,4,626,47,331
24.0,1:5:5,4,705,44,394
26.0,1:2:2,4,434,30,303
25.0,1:1:1,4,464,50,232
26.0,1:5:5,7,132,45,72
26.0,1:1:1,3,566,38,350
25.0,1:5:5,2,1327,37,836
24.0,1:5:5,8,191,28,137
24.0,1:5:5,5,472,5,448
24.0,1:10:10,6,352,24,267
28.0,1:10:10,1,1400,48,728
28.0,1:10:10,7,114,45,62
28.0,1:10:10,5,283,45,155
28.0,1:10:10,4,422,69,130
24.0,1:10:10,7,212,54,97
25.0,1:10:10,5,444,57,190
25.0,1:2:2,7,144,6,135
24.0,1:1:1,6,246,35,159
25.0,1:5:5,5,400,29,284
25.0,1:5:5,2,1327,59,544
24.0,1:1:1,2,1220,16,1024
25.0,1:1:1,5,311,47,164
24.0,1:10:10,3,1168,31,805
26.0,1:1:1,4,380,36,243
25.0,1:10:10,2,1475,40,885
28.0,1:10:10,4,422,81,80
24.0,1:10:10,5,525,50,262
25.0,1:2:2,5,355,55,159
24.0,1:1:1,2,1220,25,915
28.0,1:10:10,5,283,66,96
28.0,1:10:10,8,114,56,50
24.0,1:10:10,3,1168,-9,1273
25.0,1:10:10,1,2200,48,1144
26.0,1:1:1,4,380,70,114
24.0,1:10:10,4,783,37,493
24.0,1:5:5,5,472,55,212
26.0,1:10:10,3,809,74,210
28.0,1:1:1,5,198,11,176
26.0,1:2:2,4,434,53,203
26.0,1:10:10,7,147,28,105
24.0,1:2:2,6,281,4,269
28.0,1:10:10,8,114,44,63
28.0,1:10:10,1,1400,57,602
26.0,1:10:10,8,147,32,99
24.0,1:1:1,1,1820,22,1419
25.0,1:5:5,6,268,43,152
28.0,1:10:10,3,629,73,169
28.0,1:2:2,6,152,76,36
28.0,1:10:10,8,114,59,46
28.0,1:2:2,3,503,43,286
28.0,1:5:5,6,171,64,61
28.0,1:2:2,1,1120,49,571
28.0,1:1:1,4,295,44,165
28.0,1:5:5,6,171,35,111
26.0,1:1:1,4,380,72,106
24.0,1:5:5,2,1569,15,1333
25.0,1:10:10,6,298,62,113
28.0,1:2:2,7,91,82,16
24.0,1:2:2,4,626,24,475
24.0,1:1:1,2,1220,46,658
28.0,1:5:5,2,845,46,456
26.0,1:5:5,3,728,41,429
25.0,1:5:5,5,400,31,276
24.0,1:1:1,8,149,22,116
26.0,1:1:1,6,171,54,78
26.0,1:10:10,7,147,46,79
28.0,1:2:2,2,751,80,150
28.0,1:10:10,1,1400,70,420
28.0,1:10:10,3,629,66,213
28.0,1:10:10,2,938,34,619
24.0,1:10:10,6,352,61,137
26.0,1:5:5,3,728,30,509
24.0,1:10:10,4,783,69,242
25.0,1:2:2,2,1180,56,519
25.0,1:2:2,1,1760,56,774
25.0,1:1:1,1,1540,72,431
26.0,1:5:5,6,219,65,76
28.0,1:5:5,5,254,54,116
28.0,1:10:10,2,938,41,553
28.0,1:2:2,3,503,67,165
25.0,1:10:10,7,180,32,122
24.0,1:2:2,6,281,32,191
24.0,1:10:10,1,2600,31,1793
26.0,1:5:5,4,488,85,73
24.0,1:10:10,2,1743,41,1028
26.0,1:10:10,4,542,49,276
25.0,1:2:2,3,791,36,506
26.0,1:10:10,4,542,71,157
26.0,1:2:2,8,118,21,93
24.0,1:10:10,6,352,41,207
24.0,1:10:10,6,352,66,119
26.0,1:1:1,7,103,37,64
24.0,1:5:5,4,705,13,613
26.0,1:5:5,3,728,31,502
24.0,1:1:1,6,246,61,95
28.0,1:10:10,8,114,70,34
26.0,1:2:2,4,434,31,299
26.0,1:5:5,1,1620,57,696
26.0,1:1:1,3,566,50,283
24.0,1:2:2,6,281,73,75
26.0,1:1:1,3,566,64,203
24.0,1:5:5,2,1569,31,1082
24.0,1:1:1,8,149,50,74
24.0,1:10:10,1,2600,53,1222
28.0,1:2:2,2,751,57,322
28.0,1:2:2,7,91,54,41
28.0,1:10:10,1,1400,40,840
28.0,1:1:1,6,133,77,30
25.0,1:10:10,8,180,36,115
25.0,1:5:5,2,1327,40,796
24.0,1:1:1,4,548,54,252
28.0,1:5:5,4,380,81,72
24.0,1:10:10,2,1743,80,348
24.0,1:5:5,7,191,36,122
28.0,1:10:10,3,629,55,283
28.0,1:10:10,7,114,54,52
25.0,1:10:10,8,180,68,57
28.0,1:2:2,1,1120,68,358
24.0,1:5:5,7,191,39,116
25.0,1:1:1,8,126,24,95
24.0,1:10:10,4,783,18,642
24.0,1:1:1,1,1820,23,1401
25.0,1:5:5,1,1980,46,1069
24.0,1:10:10,5,525,30,367
26.0,1:1:1,7,103,22,80
25.0,1:1:1,1,1540,23,1185
25.0,1:1:1,2,1032,61,402
24.0,1:1:1,2,1220,17,1012
25.0,1:2:2,8,144,63,53
28.0,1:5:5,5,254,43,144
26.0,1:10:10,6,244,70,73
28.0,1:5:5,2,845,17,701
24.0,1:10:10,2,1743,39,1063
26.0,1:10:10,6,244,57,104
28.0,1:10:10,6,189,43,107
26.0,1:1:1,1,1260,81,239
24.0,1:5:5,2,1569,47,831
24.0,1:10:10,6,352,14,302
25.0,1:10:10,3,989,31,682
25.0,1:5:5,4,596,5,566
26.0,1:5:5,5,327,29,232
26.0,1:5:5,8,132,75,33
24.0,1:1:1,8,149,25,111
26.0,1:1:1,7,103,0,103
25.0,1:10:10,2,1475,71,427
26.0,1:10:10,3,809,65,283
26.0,1:10:10,6,244,44,136
24.0,1:10:10,1,2600,38,1612
28.0,1:10:10,8,114,53,53
26.0,1:1:1,4,380,32,258
