온도,비율,리프레시 횟수,경과 시간(minute),성장 비율(%)
24,1:02:02,12,220,41
24,1:02:02,12,250,54
24,1:02:02,12,270,61
24,1:02:02,12,290,71
24,1:02:02,12,300,75
24,1:02:02,12,310,79
24,1:02:02,12,320,82
24,1:02:02,12,330,86
24,1:02:02,12,350,93
24,1:02:02,12,370,100
24,1:01:01,2,0,0
24,1:01:01,2,160,22
24,1:01:01,2,240,56
24,1:01:01,2,290,78
24,1:01:01,2,310,91
24,1:01:01,2,370,122
24,1:02:02,2,0,0
24,1:02:02,2,140,9
24,1:02:02,2,220,30
24,1:02:02,2,270,50
24,1:02:02,2,290,57
24,1:02:02,2,350,89
24,1:02:02,2,380,96
24,1:02:02,2,405,107
24,1:05:05,2,0,0
24,1:05:05,2,120,5
24,1:05:05,2,200,13
24,1:05:05,2,250,21
24,1:05:05,2,330,46
24,1:05:05,2,360,54
24,1:05:05,2,520,96
24,1:05:05,2,530,100
24,1:01:01,4,0,0
24,1:01:01,4,180,43
24,1:01:01,4,220,61
24,1:01:01,4,260,82
24,1:01:01,4,300,100
24,1:01:01,5,0,0
24,1:01:01,5,100,4
24,1:01:01,5,140,11
24,1:01:01,5,170,21
24,1:01:01,5,200,36
24,1:01:01,5,260,50
24,1:01:01,5,290,82
24,1:01:01,5,320,98
24,1:01:01,5,350,111
24,1:05:05,5,0,0
24,1:05:05,5,50,4
24,1:05:05,5,90,7
24,1:05:05,5,120,7
24,1:05:05,5,150,11
24,1:05:05,5,210,23
24,1:05:05,5,240,32
24,1:05:05,5,270,39
24,1:05:05,5,300,48
24,1:05:05,5,360,68
24,1:05:05,5,390,79
24,1:05:05,5,420,84
24,1:05:05,5,450,96
24,1:05:05,5,485,100
24,1:01:01,12,0,0
24,1:01:01,12,46,7
24,1:01:01,12,93,19
24,1:01:01,12,140,35
24,1:01:01,12,186,54
24,1:01:01,12,233,76
24,1:01:01,12,280,100
24,1:01:01,12,0,0
24,1:01:01,12,40,7
24,1:01:01,12,80,19
24,1:01:01,12,120,35
24,1:01:01,12,160,54
24,1:01:01,12,200,76
24,1:01:01,12,240,100
24,1:02:02,11,0,0
24,1:02:02,11,55,7
24,1:02:02,11,110,19
24,1:02:02,11,165,35
24,1:02:02,11,220,54
24,1:02:02,11,275,76
24,1:02:02,11,330,100
24,1:02:02,7,0,0
24,1:02:02,7,90,7
24,1:02:02,7,180,19
24,1:02:02,7,270,35
24,1:02:02,7,360,54
24,1:02:02,7,450,76
24,1:02:02,7,540,100
24,1:05:05,8,0,0
24,1:05:05,8,100,7
24,1:05:05,8,200,19
24,1:05:05,8,300,35
24,1:05:05,8,400,54
24,1:05:05,8,500,76
24,1:05:05,8,600,100
24,1:01:01,2,0,0
24,1:01:01,2,100,7
24,1:01:01,2,200,19
24,1:01:01,2,300,35
24,1:01:01,2,400,54
24,1:01:01,2,500,76
24,1:01:01,2,600,100
24,1:01:01,2,0,0
24,1:01:01,2,120,7
24,1:01:01,2,240,19
24,1:01:01,2,360,35
24,1:01:01,2,480,54
24,1:01:01,2,600,76
24,1:01:01,2,720,100
24,1:02:02,4,0,0
24,1:02:02,4,120,7
24,1:02:02,4,240,19
24,1:02:02,4,360,35
24,1:02:02,4,480,54
24,1:02:02,4,600,76
24,1:02:02,4,720,100
24,1:05:05,6,0,0
24,1:05:05,6,120,7
24,1:05:05,6,240,19
24,1:05:05,6,360,35
24,1:05:05,6,480,54
24,1:05:05,6,600,76
24,1:05:05,6,720,100
24,1:05:05,6,0,0
24,1:05:05,6,125,7
24,1:05:05,6,250,19
24,1:05:05,6,375,35
24,1:05:05,6,500,54
24,1:05:05,6,625,76
24,1:05:05,6,750,100
24,1:05:05,9,0,0
24,1:05:05,9,91,7
24,1:05:05,9,183,19
24,1:05:05,9,275,35
24,1:05:05,9,366,54
24,1:05:05,9,458,76
24,1:05:05,9,550,100
25,1:01:01,1,0,0
25,1:01:01,1,120,0
25,1:01:01,1,180,0
25,1:01:01,1,240,0
25,1:01:01,1,870,10
25,1:01:01,1,930,20
25,1:01:01,1,1020,80
25,1:01:01,1,1080,95
25,1:01:01,1,1430,100
25,1:01:01,2,0,0
25,1:01:01,2,160,68
25,1:01:01,2,220,80
25,1:01:01,2,280,111
25,1:01:01,3,600,100
25,1:01:01,4,0,0
25,1:01:01,4,50,0
25,1:01:01,4,110,90
25,1:01:01,4,170,110
25,1:01:01,4,230,200
25,1:02:02,5,0,0
25,1:02:02,5,150,40
25,1:02:02,5,250,100
25,1:02:02,6,0,0
25,1:02:02,6,40,12
25,1:02:02,6,100,15
25,1:02:02,6,160,44
25,1:02:02,6,220,107
25,1:02:02,7,640,100
25,1:02:02,8,0,0
25,1:02:02,8,60,0
25,1:02:02,8,120,0
25,1:02:02,8,180,10
25,1:02:02,8,240,45
25,1:02:02,8,300,150
25,1:05:05,5,0,0
25,1:05:05,5,150,5
25,1:05:05,5,250,43
25,1:05:05,5,310,71
25,1:05:05,5,370,100
25,1:05:05,6,0,0
25,1:05:05,6,40,0
25,1:05:05,6,100,0
25,1:05:05,6,750,100
25,1:05:05,7,0,0
25,1:05:05,7,60,0
25,1:05:05,7,120,0
25,1:05:05,7,180,7
25,1:05:05,7,240,30
25,1:05:05,7,300,100
25,1:10:10,5,0,0
25,1:10:10,5,150,5
25,1:10:10,5,250,52
25,1:10:10,5,310,85
25,1:10:10,5,370,121
25,1:10:10,6,0,0
25,1:10:10,6,40,5
25,1:10:10,6,100,10
25,1:10:10,6,750,100
25,1:10:10,7,0,0
25,1:10:10,7,60,0
25,1:10:10,7,120,0
25,1:10:10,7,180,0
25,1:10:10,7,240,0
25,1:10:10,7,300,0
25,1:10:10,7,355,50
25,1:10:10,7,415,50
25,1:10:10,7,535,118
25,1:01:01,4,0,0
25,1:01:01,4,25,7
25,1:01:01,4,50,19
25,1:01:01,4,75,35
25,1:01:01,4,100,54
25,1:01:01,4,125,76
25,1:01:01,4,150,100
25,1:01:01,3,0,0
25,1:01:01,3,30,7
25,1:01:01,3,60,19
25,1:01:01,3,90,35
25,1:01:01,3,120,54
25,1:01:01,3,150,76
25,1:01:01,3,180,100
25,1:02:02,7,0,0
25,1:02:02,7,35,7
25,1:02:02,7,70,19
25,1:02:02,7,105,35
25,1:02:02,7,140,54
25,1:02:02,7,175,76
25,1:02:02,7,210,100
25,1:02:02,7,0,0
25,1:02:02,7,35,7
25,1:02:02,7,70,19
25,1:02:02,7,105,35
25,1:02:02,7,140,54
25,1:02:02,7,175,76
25,1:02:02,7,210,100
25,1:01:01,3,0,0
25,1:01:01,3,40,7
25,1:01:01,3,80,19
25,1:01:01,3,120,35
25,1:01:01,3,160,54
25,1:01:01,3,200,76
25,1:01:01,3,240,100
25,1:02:02,5,0,0
25,1:02:02,5,40,7
25,1:02:02,5,80,19
25,1:02:02,5,120,35
25,1:02:02,5,160,54
25,1:02:02,5,200,76
25,1:02:02,5,240,100
25,1:01:01,2,0,0
25,1:01:01,2,50,7
25,1:01:01,2,100,19
25,1:01:01,2,150,35
25,1:01:01,2,200,54
25,1:01:01,2,250,76
25,1:01:01,2,300,100
25,1:02:02,3,0,0
25,1:02:02,3,50,7
25,1:02:02,3,100,19
25,1:02:02,3,150,35
25,1:02:02,3,200,54
25,1:02:02,3,250,76
25,1:02:02,3,300,100
25,1:05:05,7,0,0
25,1:05:05,7,50,7
25,1:05:05,7,100,19
25,1:05:05,7,150,35
25,1:05:05,7,200,54
25,1:05:05,7,250,76
25,1:05:05,7,300,100
25,1:05:05,6,0,0
25,1:05:05,6,55,7
25,1:05:05,6,110,19
25,1:05:05,6,165,35
25,1:05:05,6,220,54
25,1:05:05,6,275,76
25,1:05:05,6,330,100
25,1:01:01,2,0,0
25,1:01:01,2,60,7
25,1:01:01,2,120,19
25,1:01:01,2,180,35
25,1:01:01,2,240,54
25,1:01:01,2,300,76
25,1:01:01,2,360,100
25,1:02:02,3,0,0
25,1:02:02,3,60,7
25,1:02:02,3,120,19
25,1:02:02,3,180,35
25,1:02:02,3,240,54
25,1:02:02,3,300,76
25,1:02:02,3,360,100
25,1:05:05,4,0,0
25,1:05:05,4,60,7
25,1:05:05,4,120,19
25,1:05:05,4,180,35
25,1:05:05,4,240,54
25,1:05:05,4,300,76
25,1:05:05,4,360,100
25,1:05:05,5,0,0
25,1:05:05,5,65,7
25,1:05:05,5,130,19
25,1:05:05,5,195,35
25,1:05:05,5,260,54
25,1:05:05,5,325,76
25,1:05:05,5,390,100
25,1:10:10,7,0,0
25,1:10:10,7,65,7
25,1:10:10,7,130,19
25,1:10:10,7,195,35
25,1:10:10,7,260,54
25,1:10:10,7,325,76
25,1:10:10,7,390,100
25,1:02:02,2,0,0
25,1:02:02,2,70,7
25,1:02:02,2,140,19
25,1:02:02,2,210,35
25,1:02:02,2,280,54
25,1:02:02,2,350,76
25,1:02:02,2,420,100
25,1:10:10,2,0,0
25,1:10:10,2,70,7
25,1:10:10,2,140,19
25,1:10:10,2,210,35
25,1:10:10,2,280,54
25,1:10:10,2,350,76
25,1:10:10,2,420,100
25,1:10:10,6,0,0
25,1:10:10,6,70,7
25,1:10:10,6,140,19
25,1:10:10,6,210,35
25,1:10:10,6,280,54
25,1:10:10,6,350,76
25,1:10:10,6,420,100
25,1:05:05,3,0,0
25,1:05:05,3,80,7
25,1:05:05,3,160,19
25,1:05:05,3,240,35
25,1:05:05,3,320,54
25,1:05:05,3,400,76
25,1:05:05,3,480,100
25,1:05:05,2,0,0
25,1:05:05,2,90,7
25,1:05:05,2,180,19
25,1:05:05,2,270,35
25,1:05:05,2,360,54
25,1:05:05,2,450,76
25,1:05:05,2,540,100
25,1:10:10,4,0,0
25,1:10:10,4,100,7
25,1:10:10,4,200,19
25,1:10:10,4,300,35
25,1:10:10,4,400,54
25,1:10:10,4,500,76
25,1:10:10,4,600,100
25,1:10:10,3,0,0
25,1:10:10,3,130,7
25,1:10:10,3,260,19
25,1:10:10,3,390,35
25,1:10:10,3,520,54
25,1:10:10,3,650,76
25,1:10:10,3,780,100
26,1:01:01,3,0,0
26,1:01:01,3,110,26
26,1:01:01,3,176,67
26,1:01:01,3,230,100
26,1:01:01,9,0,0
26,1:01:01,9,30,2
26,1:01:01,9,90,11
26,1:01:01,9,140,36
26,1:01:01,9,170,57
26,1:01:01,9,200,71
26,1:01:01,9,230,95
26,1:01:01,9,260,113
26,1:02:02,9,0,0
26,1:02:02,9,30,4
26,1:02:02,9,90,11
26,1:02:02,9,140,22
26,1:02:02,9,170,37
26,1:02:02,9,200,50
26,1:02:02,9,230,69
26,1:02:02,9,260,83
26,1:02:02,9,290,104
26,1:01:01,11,0,0
26,1:01:01,11,140,21
26,1:01:01,11,170,39
26,1:01:01,11,200,68
26,1:01:01,11,240,82
26,1:01:01,11,320,118
26,1:02:02,11,0,0
26,1:02:02,11,140,11
26,1:02:02,11,170,21
26,1:02:02,11,200,25
26,1:02:02,11,240,54
26,1:02:02,11,320,96
26,1:02:02,11,360,114
26,1:01:01,12,0,0
26,1:01:01,12,90,14
26,1:01:01,12,130,31
26,1:01:01,12,160,45
26,1:01:01,12,190,62
26,1:01:01,12,220,83
26,1:01:01,12,240,93
26,1:01:01,12,260,100
26,1:02:02,12,0,0
26,1:02:02,12,30,2
26,1:02:02,12,120,7
26,1:02:02,12,160,13
26,1:02:02,12,190,21
26,1:02:02,12,220,30
26,1:02:02,12,250,57
26,1:02:02,12,270,64
26,1:02:02,12,290,71
26,1:02:02,12,300,79
26,1:02:02,12,310,80
26,1:02:02,12,320,82
26,1:02:02,12,330,86
26,1:02:02,12,350,91
26,1:02:02,12,370,96
26,1:02:02,12,390,100
26,1:01:01,1,0,0
26,1:01:01,1,120,19
26,1:01:01,1,180,46
26,1:01:01,1,210,61
26,1:01:01,1,240,75
26,1:01:01,1,280,93
26,1:01:01,1,300,100
26,1:01:01,2,0,0
26,1:01:01,2,160,36
26,1:01:01,2,240,82
26,1:01:01,2,290,107
26,1:02:02,2,0,0
26,1:02:02,2,140,11
26,1:02:02,2,220,33
26,1:02:02,2,270,56
26,1:02:02,2,290,67
26,1:02:02,2,350,96
26,1:02:02,2,380,107
26,1:05:05,2,0,0
26,1:05:05,2,120,2
26,1:05:05,2,200,11
26,1:05:05,2,250,23
26,1:05:05,2,330,54
26,1:05:05,2,360,64
26,1:05:05,2,520,100
26,1:01:01,4,0,0
26,1:01:01,4,180,66
26,1:01:01,4,220,89
26,1:01:01,4,240,104
26,1:05:05,4,0,0
26,1:05:05,4,130,4
26,1:05:05,4,210,16
26,1:05:05,4,300,45
26,1:05:05,4,480,107
26,1:01:01,5,0,0
26,1:01:01,5,100,9
26,1:01:01,5,140,21
26,1:01:01,5,170,21
26,1:01:01,5,200,54
26,1:01:01,5,260,93
26,1:01:01,5,290,107
26,1:02:02,5,0,0
26,1:02:02,5,85,5
26,1:02:02,5,125,14
26,1:02:02,5,155,25
26,1:02:02,5,185,36
26,1:02:02,5,245,68
26,1:02:02,5,275,79
26,1:02:02,5,305,95
26,1:02:02,5,335,102
26,1:05:05,5,0,0
26,1:05:05,5,50,4
26,1:05:05,5,90,4
26,1:05:05,5,120,7
26,1:05:05,5,150,11
26,1:05:05,5,210,21
26,1:05:05,5,240,30
26,1:05:05,5,270,39
26,1:05:05,5,300,50
26,1:05:05,5,360,68
26,1:05:05,5,390,75
26,1:05:05,5,420,86
26,1:05:05,5,450,86
26,1:05:05,5,485,93
26,1:05:05,5,510,102
26,1:02:02,6,0,0
26,1:02:02,6,85,7
26,1:02:02,6,115,13
26,1:02:02,6,145,20
26,1:02:02,6,175,7
26,1:02:02,6,205,36
26,1:02:02,6,265,61
26,1:02:02,6,295,66
26,1:02:02,6,345,93
26,1:02:02,6,375,107
26,1:02:02,8,0,0
26,1:02:02,8,71,7
26,1:02:02,8,143,19
26,1:02:02,8,215,35
26,1:02:02,8,286,54
26,1:02:02,8,358,76
26,1:02:02,8,430,100
26,1:01:01,14,0,0
26,1:01:01,14,35,7
26,1:01:01,14,70,19
26,1:01:01,14,105,35
26,1:01:01,14,140,54
26,1:01:01,14,175,76
26,1:01:01,14,210,100
26,1:01:01,9,0,0
26,1:01:01,9,50,7
26,1:01:01,9,100,19
26,1:01:01,9,150,35
26,1:01:01,9,200,54
26,1:01:01,9,250,76
26,1:01:01,9,300,100
26,1:05:05,12,0,0
26,1:05:05,12,78,7
26,1:05:05,12,156,19
26,1:05:05,12,235,35
26,1:05:05,12,313,54
26,1:05:05,12,391,76
26,1:05:05,12,470,100
26,1:01:01,4,0,0
26,1:01:01,4,70,7
26,1:01:01,4,140,19
26,1:01:01,4,210,35
26,1:01:01,4,280,54
26,1:01:01,4,350,76
26,1:01:01,4,420,100
26,1:10:10,8,0,0
26,1:10:10,8,110,7
26,1:10:10,8,220,19
26,1:10:10,8,330,35
26,1:10:10,8,440,54
26,1:10:10,8,550,76
26,1:10:10,8,660,100
26,1:02:02,3,0,0
26,1:02:02,3,120,7
26,1:02:02,3,240,19
26,1:02:02,3,360,35
26,1:02:02,3,480,54
26,1:02:02,3,600,76
26,1:02:02,3,720,100
26,1:02:02,9,0,0
26,1:02:02,9,70,7
26,1:02:02,9,140,19
26,1:02:02,9,210,35
26,1:02:02,9,280,54
26,1:02:02,9,350,76
26,1:02:02,9,420,100
26,1:02:02,11,0,0
26,1:02:02,11,66,7
26,1:02:02,11,133,19
26,1:02:02,11,200,35
26,1:02:02,11,266,54
26,1:02:02,11,333,76
26,1:02:02,11,400,100
27,1:02:02,12,0,0
27,1:02:02,12,50,7
27,1:02:02,12,100,19
27,1:02:02,12,150,35
27,1:02:02,12,200,54
27,1:02:02,12,250,76
27,1:02:02,12,300,100
27,1:05:05,5,0,0
27,1:05:05,5,120,7
27,1:05:05,5,240,19
27,1:05:05,5,360,35
27,1:05:05,5,480,54
27,1:05:05,5,600,76
27,1:05:05,5,720,100
27,1:01:01,4,0,0
27,1:01:01,4,40,7
27,1:01:01,4,80,19
27,1:01:01,4,120,35
27,1:01:01,4,160,54
27,1:01:01,4,200,76
27,1:01:01,4,240,100
28,1:02:02,1,0,0
28,1:02:02,1,120,0
28,1:02:02,1,180,0
28,1:02:02,1,240,7
28,1:02:02,1,870,10
28,1:02:02,1,930,30
28,1:02:02,1,1020,95
28,1:02:02,1,1080,100
28,1:02:02,2,335,100
28,1:02:02,3,0,0
28,1:02:02,3,170,83
28,1:02:02,3,230,100
28,1:02:02,5,0,0
28,1:02:02,5,40,0
28,1:02:02,5,100,30
28,1:02:02,5,160,100
28,1:05:05,6,0,0
28,1:05:05,6,150,10
28,1:05:05,6,250,84
28,1:05:05,6,310,120
28,1:05:05,7,0,0
28,1:05:05,7,40,0
28,1:05:05,7,100,12
28,1:05:05,7,160,24
28,1:05:05,7,810,100
28,1:05:05,8,0,0
28,1:05:05,8,60,10
28,1:05:05,8,120,20
28,1:05:05,8,180,50
28,1:05:05,8,240,70
28,1:05:05,8,300,150
28,1:10:10,6,0,0
28,1:10:10,6,150,5
28,1:10:10,6,250,75
28,1:10:10,6,310,100
28,1:10:10,8,0,0
28,1:10:10,8,60,5
28,1:10:10,8,120,10
28,1:10:10,8,180,50
28,1:10:10,8,240,90
28,1:10:10,8,300,150
28,1:02:02,2,0,0
28,1:02:02,2,120,15
28,1:02:02,2,180,39
28,1:02:02,2,210,57
28,1:02:02,2,240,72
28,1:02:02,2,280,93
28,1:02:02,2,300,104
28,1:01:01,2,0,0
28,1:01:01,2,160,40
28,1:01:01,2,240,96
28,1:01:01,2,290,121
28,1:02:02,2,0,0
28,1:02:02,2,140,15
28,1:02:02,2,220,54
28,1:02:02,2,270,73
28,1:02:02,2,290,85
28,1:02:02,2,350,100
28,1:05:05,2,0,0
28,1:05:05,2,120,3
28,1:05:05,2,200,28
28,1:05:05,2,250,48
28,1:05:05,2,270,62
28,1:05:05,2,330,76
28,1:05:05,2,380,100
28,1:01:01,4,0,0
28,1:01:01,4,180,79
28,1:01:01,4,220,96
28,1:01:01,4,230,100
28,1:02:02,4,0,0
28,1:02:02,4,170,30
28,1:02:02,4,250,70
28,1:02:02,4,340,102
28,1:01:01,5,0,0
28,1:01:01,5,100,4
28,1:01:01,5,140,21
28,1:01:01,5,170,46
28,1:01:01,5,200,71
28,1:01:01,5,260,121
28,1:02:02,5,0,0
28,1:02:02,5,85,5
28,1:02:02,5,125,21
28,1:02:02,5,155,21
28,1:02:02,5,185,54
28,1:02:02,5,245,89
28,1:02:02,5,275,104
28,1:05:05,5,0,0
28,1:05:05,5,50,4
28,1:05:05,5,90,7
28,1:05:05,5,120,14
